id,order_id,card_id,store_id,card_title,urls,metadata,created_at,store_code,store_name,status,week_folder
14,5b32b2c8-4896-47ad-9d77-49ebe15f9950,78d04f8a-b8c7-4ff9-a1c2-6c19908b06f5,,Key Food Fresh,"[""https://rvx-products-dev-orderimagesbucket-dvsreete.s3.us-east-1.amazonaws.com/order/db835e00-dec9-4e00-9647-1875863ea403.pdf""]","{""group_id"":""d14e63a8-3700-457f-9355-369d43e01fc4"",""quantity"":""25"",""start_day"":""Friday"",""card_title"":""Key Food Fresh"",""resolution"":""1080x1920"",""triggered_at"":""2025-12-09T13:42:13.411001+00:00""}",2025-12-09 13:42:17.91+00,0185,Key Food Fresh,Pending,2025-W50
15,1b9b2138-50b3-4228-bd85-9e9523f9fb91,c5fba73f-8685-4489-970f-070658b98127,,"Associated Fresh Market ","[""https://rvx-products-dev-orderimagesbucket-dvsreete.s3.us-east-1.amazonaws.com/order/16f52dac-fc12-493f-ad55-55f88728a697.pdf""]","{""group_id"":""be729412-bbae-401a-9598-461e2a778ad7"",""quantity"":""30"",""start_day"":""Friday"",""card_title"":""Associated Fresh Market "",""resolution"":""1600x1200"",""triggered_at"":""2025-12-09T13:42:15.651073+00:00""}",2025-12-09 13:42:22.415+00,0384,"Associated Fresh Market ",Pending,2025-W50
16,afaf2c52-154d-4826-9377-949c85f00c99,d9ceb26e-6100-4b3a-b7dc-17260da59cc2,,FHD Trade Fair (Led#0275-277),"[""https://rvx-products-dev-orderimagesbucket-dvsreete.s3.us-east-1.amazonaws.com/order/b9700832-b314-4187-97a5-7f02a0a865ff.png"",""https://rvx-products-dev-orderimagesbucket-dvsreete.s3.us-east-1.amazonaws.com/order/f771e09b-4c77-4119-8533-e94f6238f723.png"",""https://rvx-products-dev-orderimagesbucket-dvsreete.s3.us-east-1.amazonaws.com/order/234edf7b-4cbf-47c0-ad88-51b7419511fd.png"",""https://rvx-products-dev-orderimagesbucket-dvsreete.s3.us-east-1.amazonaws.com/order/04907b62-7349-424a-9d20-b911e4018489.png"",""https://rvx-products-dev-orderimagesbucket-dvsreete.s3.us-east-1.amazonaws.com/order/f6a7d197-5091-4be1-9ea3-b7f0f5fdf0ee.png"",""https://rvx-products-dev-orderimagesbucket-dvsreete.s3.us-east-1.amazonaws.com/order/c6b6b232-6b12-4951-bf11-30294ec88fa2.pdf"",""https://rvx-products-dev-orderimagesbucket-dvsreete.s3.us-east-1.amazonaws.com/order/be9c077b-0ab5-486b-bec1-63cd84fae451.pdf"",""https://rvx-products-dev-orderimagesbucket-dvsreete.s3.us-east-1.amazonaws.com/order/9dbe7921-2191-49dc-96e2-8f90a111a3e4.pdf"",""https://rvx-products-dev-orderimagesbucket-dvsreete.s3.us-east-1.amazonaws.com/order/0f0c4a48-2f49-44ec-9ca3-3cef48cd488e.pdf""]","{""group_id"":""56dc5628-ee34-4a49-bdb4-fcb3aad54a72"",""quantity"":""20"",""start_day"":""Friday"",""card_title"":""FHD Trade Fair (Led#0275-277)"",""resolution"":""1920x1080"",""triggered_at"":""2025-12-09T16:26:00.720811+00:00""}",2025-12-09 16:26:27.037+00,IN0275,FHD Trade Fair (Led#0275-277),Pending,2025-W50
17,68391507-84f1-495f-93b7-6bc2ded13996,18adec86-1fac-4376-84db-83d7c7077dd9,,Test Store 99998,"[""https://rvx-products-dev-orderimagesbucket-dvsreete.s3.us-east-1.amazonaws.com/order/f9428e43-2a4c-48ff-bec3-4301350a8b20.pdf""]","{""group_id"":""a5168773-4b02-4e2b-9e57-bcfaa21a3604"",""quantity"":""20"",""start_day"":""Wednesday"",""card_title"":""Test Store 99998"",""resolution"":""1920x1080"",""triggered_at"":""2025-12-09T17:56:11.449524+00:00""}",2025-12-09 17:56:14.994+00,99998,Test Store 99998,Pending,2025-W50
18,2cba3771-8283-4f77-81b5-be4673b6fced,b76c20f4-cc14-4544-9dc6-df3c578d2b9f,,Trade Fair #07,"[""https://rvx-products-dev-orderimagesbucket-dvsreete.s3.us-east-1.amazonaws.com/order/1b6067d6-62a1-4700-9652-53a1d9933b52.pdf""]","{""group_id"":""f09d4780-9b42-4e4f-8b63-bc8dfbb004d8"",""quantity"":""20"",""start_day"":""Friday"",""card_title"":""Trade Fair #07"",""resolution"":""1080x1920"",""triggered_at"":""2025-12-09T19:38:54.295566+00:00""}",2025-12-09 19:38:58.696+00,0273,Trade Fair #07,Pending,2025-W50
19,66a1a82a-c332-44a5-9194-98726ce7f007,50ff59a0-39be-471c-b20c-82751381d9af,,Trade Fair #01,"[""https://rvx-products-dev-orderimagesbucket-dvsreete.s3.us-east-1.amazonaws.com/order/3f26cd65-ccaf-4119-b142-e3904f346212.pdf""]","{""group_id"":""ac7dd1a1-c3a4-46db-a335-40ca1029e5a2"",""quantity"":""20"",""start_day"":""Friday"",""card_title"":""Trade Fair #01"",""resolution"":""1920x1080"",""triggered_at"":""2025-12-09T19:38:56.356323+00:00""}",2025-12-09 19:39:04.115+00,0275,Trade Fair #01,Pending,2025-W50
20,f3cc8d5d-5a85-44ff-8c03-db6f22ab1c39,0371ae75-c483-4505-8247-a03fb0e46153,,Trade Fair #08,"[""https://rvx-products-dev-orderimagesbucket-dvsreete.s3.us-east-1.amazonaws.com/order/168c5f69-1818-4b5c-a93e-d3404be2c303.pdf""]","{""group_id"":""a589c2c5-f706-4a29-8111-42a1fb8f8851"",""quantity"":""20"",""start_day"":""Friday"",""card_title"":""Trade Fair #08"",""resolution"":""1600x1200, 1080x1920"",""triggered_at"":""2025-12-09T19:38:58.916987+00:00""}",2025-12-09 19:39:03.806+00,0279,Trade Fair #08,Pending,2025-W50
21,88834856-4a51-4edc-a7a5-8460104e41c3,b0bcec73-551c-4684-9863-ddaa12d1bf22,,Trade Fair #11,"[""https://rvx-products-dev-orderimagesbucket-dvsreete.s3.us-east-1.amazonaws.com/order/9282f1fb-2753-40d9-a977-1753cff1f4ef.pdf""]","{""group_id"":""a3113114-c394-4a73-8d4b-9caa4d8da32c"",""quantity"":""20"",""start_day"":""Friday"",""card_title"":""Trade Fair #11"",""resolution"":""1600x1200"",""triggered_at"":""2025-12-09T19:38:55.449527+00:00""}",2025-12-09 19:39:03.972+00,0274,Trade Fair #11,Pending,2025-W50
22,2ed21a57-03af-42de-9877-df6e383d35c4,d73e89de-4953-4467-af70-8fc95ce9fc01,,Trade Fair #04,"[""https://rvx-products-dev-orderimagesbucket-dvsreete.s3.us-east-1.amazonaws.com/order/59bd1d10-0bf8-42b3-93cf-00ac3c78d317.pdf""]","{""group_id"":""337e610d-33a4-4955-87ae-bff4a6640302"",""quantity"":""20"",""start_day"":""Friday"",""card_title"":""Trade Fair #04"",""resolution"":""1600x1200"",""triggered_at"":""2025-12-09T19:38:57.143152+00:00""}",2025-12-09 19:39:04.069+00,0276,Trade Fair #04,Pending,2025-W50
23,4a802897-c67f-4060-853a-b779292fadce,77399171-853b-41eb-b5a9-af2c955eb419,,Trade Fair #05,"[""https://rvx-products-dev-orderimagesbucket-dvsreete.s3.us-east-1.amazonaws.com/order/da2fdab2-8961-49ef-8035-ccdf799d4605.pdf""]","{""group_id"":""d618bb04-6030-4ba5-af4c-11730dba7af4"",""quantity"":""20"",""start_day"":""Friday"",""card_title"":""Trade Fair #05"",""resolution"":""1080x1920"",""triggered_at"":""2025-12-09T19:38:57.901485+00:00""}",2025-12-09 19:39:04.326+00,0277,Trade Fair #05,Pending,2025-W50
